"Year","Question","Area","Area_abbr","Demographics_Type","Demographics_Value","Percent","Low_Confidence_Interval","High_Confidence_Interval","Confidence_Interval_Formatted","Data_Label","Percentile_Range"
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Missouri","MO","Total","Total","10.3","9.4","11.3","10.3 (9.4-11.3)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Montana","MT","Total","Total","10.4","9.5","11.4","10.4 (9.5-11.4)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Nebraska","NE","Total","Total","7.8","7.1","8.4","7.8 (7.1-8.4)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Nevada","NV","Total","Total","12.5","10.0","14.9","12.5 (10.0-14.9)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New Hampshire","NH","Total","Total","10.1","8.9","11.2","10.1 (8.9-11.2)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New Jersey","NJ","Total","Total","8.1","7.3","9.0","8.1 (7.3-9.0)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New Mexico","NM","Total","Total","11.3","9.6","12.9","11.3 (9.6-12.9)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New York","NY","Total","Total","8.9","8.3","9.6","8.9 (8.3-9.6)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","North Carolina","NC","Total","Total","10.1","8.8","11.5","10.1 (8.8-11.5)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","North Dakota","ND","Total","Total","7.8","6.9","8.7","7.8 (6.9-8.7)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Ohio","OH","Total","Total","11.7","10.9","12.6","11.7 (10.9-12.6)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Oklahoma","OK","Total","Total","10.5","9.6","11.5","10.5 (9.6-11.5)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Oregon","OR","Total","Total","10.4","9.5","11.4","10.4 (9.5-11.4)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Puerto Rico","PR","Total","Total","9.2","8.0","10.4","9.2 (8.0-10.4)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Rhode Island","RI","Total","Total","10.7","9.4","12.0","10.7 (9.4-12.0)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","South Carolina","SC","Total","Total","11.0","10.1","11.8","11.0 (10.1-11.8)",,
"2023","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","South Dakota","SD","Total","Total","8.6","6.8","10.4","8.6 (6.8-10.4)",,
