Year,Question,Area,Area_abbr,Demographics_Type,Demographics_Value,Percent,Low_Confidence_Interval,High_Confidence_Interval,Confidence_Interval_Formatted,Data_Label,Percentile_Range
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Connecticut,CT,Total,Total,14.5,13.3,15.6,14.5 (13.3-15.6),9.9% - 14.5%,0-25th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Maine,ME,Total,Total,16.3,15.1,17.4,16.3 (15.1-17.4),15.9% - 16.5%,51-75th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Massachusetts,MA,Total,Total,14.6,13.7,15.6,14.6 (13.7-15.6),14.6% - 15.7%,26-50th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Hampshire,NH,Total,Total,16.7,15.2,18.2,16.7 (15.2-18.2),16.7% - 21.1%,76-100th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New Jersey,NJ,Total,Total,13.7,12.6,14.8,13.7 (12.6-14.8),9.9% - 14.5%,0-25th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",New York,NY,Total,Total,15.4,14.6,16.2,15.4 (14.6-16.2),14.6% - 15.7%,26-50th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Pennsylvania,PA,Total,Total,14.9,13.4,16.5,14.9 (13.4-16.5),14.6% - 15.7%,26-50th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Rhode Island,RI,Total,Total,15.5,14.1,16.9,15.5 (14.1-16.9),14.6% - 15.7%,26-50th percentile
2022,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",Vermont,VT,Total,Total,16.2,14.9,17.4,16.2 (14.9-17.4),15.9% - 16.5%,51-75th percentile
2024,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Connecticut,CT,Total,Total,12.1,11.0,13.2,12.1 (11.0-13.2),N/A,N/A
2024,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Maine,ME,Total,Total,15.1,14.3,16.0,15.1 (14.3-16.0),N/A,N/A
2024,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Massachusetts,MA,Total,Total,11.9,11.0,12.8,11.9 (11.0-12.8),N/A,N/A
2024,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",New Hampshire,NH,Total,Total,11.5,10.4,12.7,11.5 (10.4-12.7),N/A,N/A
2024,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",New Jersey,NJ,Total,Total,11.8,10.8,12.7,11.8 (10.8-12.7),N/A,N/A
2024,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",New York,NY,Total,Total,12.7,12.2,13.2,12.7 (12.2-13.2),N/A,N/A
2024,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Pennsylvania,PA,Total,Total,13.6,12.1,15.2,13.6 (12.1-15.2),N/A,N/A
2024,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Rhode Island,RI,Total,Total,13.0,11.8,14.3,13.0 (11.8-14.3),N/A,N/A
2024,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Vermont,VT,Total,Total,12.7,11.6,13.8,12.7 (11.6-13.8),N/A,N/A
2023,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Connecticut,CT,Total,Total,11.4,10.3,12.4,11.4 (10.3-12.4),N/A,N/A
2023,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Maine,ME,Total,Total,14.8,13.9,15.8,14.8 (13.9-15.8),N/A,N/A
2023,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Massachusetts,MA,Total,Total,11.8,10.8,12.7,11.8 (10.8-12.7),N/A,N/A
2023,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",New Hampshire,NH,Total,Total,12.3,11.2,13.5,12.3 (11.2-13.5),N/A,N/A
2023,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",New Jersey,NJ,Total,Total,12.1,11.1,13.1,12.1 (11.1-13.1),N/A,N/A
2023,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",New York,NY,Total,Total,12.6,11.8,13.4,12.6 (11.8-13.4),N/A,N/A
2023,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Rhode Island,RI,Total,Total,12.9,11.6,14.3,12.9 (11.6-14.3),N/A,N/A
2023,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Vermont,VT,Total,Total,12.4,11.3,13.5,12.4 (11.3-13.5),N/A,N/A
2022,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Connecticut,CT,Total,Total,11.6,10.5,12.6,11.6 (10.5-12.6),N/A,N/A
2022,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Maine,ME,Total,Total,12.4,11.5,13.3,12.4 (11.5-13.3),N/A,N/A
2022,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",Massachusetts,MA,Total,Total,10.9,10.1,11.7,10.9 (10.1-11.7),N/A,N/A
2022,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",New Hampshire,NH,Total,Total,11.9,10.8,12.9,11.9 (10.8-12.9),N/A,N/A
2022,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",New Jersey,NJ,Total,Total,11.7,10.6,12.7,11.7 (10.6-12.7),N/A,N/A
